590,0,637,53,684,18.9,731,41.9
591,0,638,53,685,18.9,732,42
592,0,639,52.9,686,21.3,733,42.2
593,0,640,52.7,687,23.9,734,42.4
594,0,641,52.6,688,25.9,735,42.7
595,0,642,53.1,689,28.4,736,43.1
596,0,643,54.3,690,30.3,737,43.7
597,0,644,55.2,691,30.9,738,44
598,0,645,55.5,692,31.1,739,44.1
599,0,646,55.9,693,31.8,740,45.3
600,0,647,56.3,694,32.7,741,46.4
601,1,648,56.7,695,33.2,742,47.2
602,2.1,649,56.9,696,32.4,743,47.3
603,5.2,650,56.8,697,28.3,744,47.4
604,9.2,651,56,698,25.8,745,47.4
605,13.5,652,54.2,699,23.1,746,47.5
606,18.1,653,52.1,700,21.8,747,47.9
607,22.3,654,50.1,701,21.2,748,48.6
608,26,655,47.2,702,21,749,49.4
609,29.3,656,43.2,703,21,750,49.8
610,32.8,657,39.2,704,20.9,751,49.8
611,36,658,36.5,705,19.9,752,49.7
612,39.2,659,34.3,706,17.9,753,49.3
613,42.5,660,31,707,15.1,754,48.5
614,45.7,661,26,708,12.8,755,47.6
615,48.2,662,20.7,709,12,756,46.3
616,48.4,663,15.4,710,13.2,757,43.7
617,48.2,664,13.1,711,17.1,758,39.3
618,47.8,665,12,712,21.1,759,34.1
619,47,666,12.5,713,21.8,760,29
620,45.9,667,14,714,21.2,761,23.7
621,44.9,668,19,715,18.5,762,18.4
622,44.4,669,23.2,716,13.9,763,14.3
623,44.3,670,28,717,12,764,12
624,44.5,671,32,718,12,765,12.8
625,45.1,672,34,719,13,766,16
626,45.7,673,36,720,16.3,767,20.4
627,46,674,38,721,20.5,768,24
628,46,675,40,722,23.9,769,29
629,46,676,40.3,723,26,770,32.2
630,46.1,677,40.5,724,28,771,36.8
631,46.7,678,39,725,31.5,772,39.4
632,47.7,679,35.7,726,33.4,773,43.2
633,48.9,680,31.8,727,36,774,45.8
634,50.3,681,27.1,728,37.8,775,49.2
635,51.6,682,22.8,729,40.2,776,51.4
636,52.6,683,21.1,730,41.6,777,54.2
778,56,827,37.1,876,75.8,925,62.3
779,58.3,828,38.9,877,76.6,926,62.7
780,59.8,829,41.4,878,76.5,927,62
781,61.7,830,44,879,76.2,928,61.3
782,62.7,831,46.3,880,75.8,929,60.9
783,63.3,832,47.7,881,75.4,930,60.5
784,63.6,833,48.2,882,74.8,931,60.2
785,64,834,48.7,883,73.9,932,59.8
786,64.7,835,49.3,884,72.7,933,59.4
787,65.2,836,49.8,885,71.3,934,58.6
788,65.3,837,50.2,886,70.4,935,57.5
789,65.3,838,50.9,887,70,936,56.6
790,65.4,839,51.8,888,70,937,56
791,65.7,840,52.5,889,69,938,55.5
792,66,841,53.3,890,68,939,55
793,65.6,842,54.5,891,67.3,940,54.4
794,63.5,843,55.7,892,66.2,941,54.1
795,59.7,844,56.5,893,64.8,942,54
796,54.6,845,56.8,894,63.6,943,53.9
797,49.3,846,57,895,62.6,944,53.9
798,44.9,847,57.2,896,62.1,945,54
799,42.3,848,57.7,897,61.9,946,54.2
800,41.4,849,58.7,898,61.9,947,55
801,41.3,850,60.1,899,61.8,948,55.8
802,43,851,61.1,900,61.5,949,56.2
803,45,852,61.7,901,60.9,950,56.1
804,46.5,853,62.3,902,59.7,951,55.1
805,48.3,854,62.9,903,54.6,952,52.7
806,49.5,855,63.3,904,49.3,953,48.4
807,51.2,856,63.4,905,44.9,954,43.1
808,52.2,857,63.5,906,42.3,955,37.8
809,51.6,858,63.9,907,41.4,956,32.5
810,49.7,859,64.4,908,41.3,957,27.2
811,47.4,860,65,909,42.1,958,25.1
812,43.7,861,65.6,910,44.7,959,27
813,39.7,862,66.6,911,46,960,29.8
814,35.5,863,67.4,912,48.8,961,33.8
815,31.1,864,68.2,913,50.1,962,37
816,26.3,865,69.1,914,51.3,963,40.7
817,21.9,866,70,915,54.1,964,43
818,18,867,70.8,916,55.2,965,45.6
819,17,868,71.5,917,56.2,966,46.9
820,18,869,72.4,918,56.1,967,47
821,21.4,870,73,919,56.1,968,46.9
822,24.8,871,73.7,920,56.5,969,46.5
823,27.9,872,74.4,921,57.5,970,45.8
824,30.8,873,74.9,922,59.2,971,44.3
825,33,874,75.3,923,60.7,972,41.3
826,35.1,875,75.6,924,61.8,973,36.5
974,31.7,,,,,,
975,27,,,,,,
976,24.7,,,,,,
977,19.3,,,,,,
978,16,,,,,,
979,13.2,,,,,,
980,10.7,,,,,,
981,8.8,,,,,,
982,7.2,,,,,,
983,5.5,,,,,,
984,3.2,,,,,,
985,1.1,,,,,,
986,0,,,,,,
987,0,,,,,,
988,0,,,,,,
989,0,,,,,,
990,0,,,,,,
991,0,,,,,,
992,0,,,,,,
993,0,,,,,,
994,0,,,,,,
995,0,,,,,,
996,0,,,,,,
997,0,,,,,,
998,0,,,,,,
999,0,,,,,,
1000,0,,,,,,
1001,0,,,,,,
1002,0,,,,,,
1003,0,,,,,,
1004,0,,,,,,
1005,0,,,,,,
1006,0,,,,,,
1007,0,,,,,,
1008,0,,,,,,
1009,0,,,,,,
1010,0,,,,,,
1011,0,,,,,,
1012,0,,,,,,
1013,0,,,,,,
1014,0,,,,,,
1015,0,,,,,,
1016,0,,,,,,
1017,0,,,,,,
1018,0,,,,,,
1019,0,,,,,,
1020,0,,,,,,
1021,0,,,,,,
1022,0, , , , , , 
